index,street_raw,street,street_no,apartment_no
00837.jpg,50. flower,flower,210,apt # 411
00840.jpg,so flower st.,flower,"246
r",pasement 1300
00847.jpg,flower,flower,219,211
00835.jpg,so. flower st.,flower,227,
00833.jpg,so. flower st,flower,247-51,"he
777"
00846.jpg,so flower.,flower,1051,apt. no.5-1st floo
00849.jpg,so. flower st,flower,245,4127
00856.jpg,so. flower st.,flower,245,
00859.jpg,so.flower,flower,210,"apt
114"
00862.jpg,so. flower,flower,247-51,307
00857.jpg,so.flower,flower,210,apt. 203
00850.jpg,50. flower st,flower,236,"apt#30
3rd floor"
00852.jpg,so. flower,flower,247-57,2009
00858.jpg,sp. floweet.,flower,23,"105
905"
00853.jpg,flower,flower,219,
00860.jpg,so flower,flower,210,
00864.jpg,so. flower st,flower,7.00E+23,m
00867.jpg,so. flower,flower,247-51,30.5
00873.jpg,so. flower,flower,517-519,"212
24 floor"
00871.jpg,50. flower,flower,,apt 407
00865.jpg,s. flower,flower,336,"306,
3rd floor"
00872.jpg,sp. flower st.,flower,237,"4
104"
00869.jpg,so. flower,flower,517-519,"102
1st floor"
00863.jpg,so. flower st,flower,236,apt #21
00870.jpg,"do.
flower",flower,103,"apt. no.
ne."
00866.jpg,so flower,flower,2045,bete
00882.jpg,so. flower st.,flower,237,
00874.jpg,flower,flower,219,408
00879.jpg,flower se,flower,219,103
00878.jpg,so. flower st,flower,63,"3
6
4125"
00881.jpg,so. flower.,flower,bel,toom no. 4- 2nd floe
00888.jpg,flower se,flower,219,202
00876.jpg,"so. flower
st",flower,236,apt. # 7
00889.jpg,so flower sf.,flower,245,"ng
bo
412"
00884.jpg,50. flower,flower,230,"apt. #
(1"
00877.jpg,30. flower,flower,-210,apt #214
00886.jpg,sp. flowe - st.,flower,237,"309
607"
00875.jpg,"so. flower
st",flower,-298,"801
f
hf"
00895.jpg,so flower,flower,10942,room no.4 - 2nd
00887.jpg,flower se,flower,219,213
00894.jpg,so. flower,flower,517-519,"309
3d floor"
00893.jpg,so flower,flower,129,"1st floor
ou"
00898.jpg,"s. flower
n",flower,330,no con = 41
00897.jpg,50. flower,flower,,7
00903.jpg,so. flower st,flower,236,/-st. floor. apt. fi
00900.jpg,"s.flower
s",flower,336,"308, 3rg floor"
00901.jpg,so. flower,flower,230,"apt. #
27"
00902.jpg,50. flower,flower,210,"apt
4/0
475"
00905.jpg,s. flower,flower,330,15 = 2nd floor contor
00907.jpg,so flower st.,flower,223,
00906.jpg,so. flower,flower,,ce 44
00904.jpg,so. flower,flower,247-57,"15
4152"
00908.jpg,so flower st,flower,236,"apt #4
2nd floor"
00911.jpg,so-flower,flower,230,apt # 13
00910.jpg,flower,flower,219,210
00913.jpg,so. flower,flower,517-519,"36
troph"
00912.jpg,50. flower,flower,210,apt. 2/7
00909.jpg,so. flower,flower,224,"apt
y
11458"
00914.jpg,80. i lower.,flower,105/2,(toom no 3-1st floo.
00919.jpg,so. flower,flower,230,apt. #60
00915.jpg,so. flower st,flower,245,"+
44
4133"
00922.jpg,so. flower,flower,2047-51,202
00918.jpg,so. flower st,flower,,
00921.jpg,so. flower,flower,115,"1st. floor sant.
auth"
00917.jpg,50. flower,flower,dic,apt 303
00924.jpg,so. flower st,flower,,
00923.jpg,90.flower st.,flower,234,"apt.
35"
00925.jpg,so. flower,flower,ote,apt 403
00928.jpg,so. flower-st.,flower,238,"apt#1
and for"
00931.jpg,s. flower,flower,330,"23= 2ns floor roa
2h"
00930.jpg,so. flower st.,flower,545,"16
412"
00926.jpg,so flower,flower,247-251,312
00927.jpg,flower,flower,219,
00934.jpg,so. flower,flower,224,apt 19 a
00932.jpg,so flower st.,flower,237,"303
403"
00933.jpg,flower se,flower,219,216
00939.jpg,so. flower,flower,517-519,"207
24 (foor"
00935.jpg,so. flower.,flower,101,ist. floor north
00938.jpg,so.flower,flower,210,apt # 513
00940.jpg,so. flower,flower,230,"apt #
39"
00944.jpg,s. flower,flower,318,8. first floor rear.
00943.jpg,sq. flower,flower,224,apt. #8
00950.jpg,comotes,west,318,foot be of
00945.jpg,so. flower st.,flower,223,
00942.jpg,flower st,flower,219,316
00946.jpg,so. flower,flower,236,"apt 28
in"
00951.jpg,"s. flower
s",flower,336,"""not footst
103="
00952.jpg,so.flower,flower,310,907
00953.jpg,so flower st.,flower,245,"3
41"
00949.jpg,s. flower,flower,318,37 3rd floor con
00948.jpg,so. flower st.,flower,2.37,"205
407"
00954.jpg,so. flower st,flower,246,apt. # 4 - 2nd flow
00961.jpg,"s. flower
n",flower,330,"44= 3rd floor, rear"
00955.jpg,flower str,flower,219,303
00957.jpg,so. flower st.,flower,2 3,406
00958.jpg,so flower,flower,517-519,77
00967.jpg,s. flower,flower,318,19. 2nd floor cenle
00964.jpg,so flower st,flower,236,"apt #2
1
2nd flook"
00965.jpg,so. flower,flower,210,apt. 315
00960.jpg,so. flower st.,flower,37,107
00959.jpg,so.flower,flower,210,apt 508.
00963.jpg,s. flower,flower,306,"6,
2nd floor east
t"
00966.jpg,flower st.-,flower,219,204
00956.jpg,so. flower str,flower,237,"2010
402"
00962.jpg,so. flower,flower,230,"apt.#
4."
00974.jpg,so. flowe's. st.,flower,,"3/0a
13"
00969.jpg,so. flower se,flower,247-51,"9btb
fill"
00970.jpg,so. flower.,flower,115,"ind. floor.
south"
00972.jpg,"s. flower
s",flower,330,"62= 4th floor, reabo."
00979.jpg,jo. flower,flower,137,
00968.jpg,s. flower,flower,336,"309.
3rd floor"
00983.jpg,so. flower se,flower,245,"21 b
40"
00973.jpg,so.flower,flower,330,"251
hpt. # 2."
00975.jpg,s. flower,flower,330,42= 3 r4 floor rear
00989.jpg,sp. flower st.,flower,2037,"zell
4078"
00982.jpg,flower st,flower,219,208
00988.jpg,flower,flower,biz,boti
00976.jpg,so. flower se,flower,245,20 le
00984.jpg,so. flower,flower,ore,307
00990.jpg,so. flower st,flower,19-he,106
00985.jpg,so. flower,flower,223,
00993.jpg,"so. flower
st.",flower,236,"apt #38
4th fl"
00995.jpg,so. flower st,flower,245,"3%
4122"
00980.jpg,so. flower.,flower,115,"2nd, food."
00991.jpg,s. flowcr,flower,336,"314,
3rd floor"
00992.jpg,jo. i lower,flower,105,toom no. 2-2~² floof
00981.jpg,50. flower,flower,230,apt # 16
00997.jpg,so. flower,flower,224,apt. 18 a.
00998.jpg,so. flower,flower,ote,apt 316
01004.jpg,flower se,flower,2019,318
01006.jpg,"s. flowpr
s
150",flower,336,"204 2nd floor.
="
01000.jpg,"50. flower
st",flower,242,apt. #3
00999.jpg,so. flower,flower,247-51,301
01005.jpg,so. flower,flower,247-51,310
01002.jpg,so. flower,flower,72,"apt 30
cl"
01001.jpg,so flower st,flower,,
01003.jpg,s.flo wor,flower,318,22-2nd floor rear.
01014.jpg,so. flower st,flower,247-51,70/
01016.jpg,"so. flower
st",flower,242,"apt. #
2
2nd flowe"
01010.jpg,so flower,flower,517-619,"203
24 floor"
01007.jpg,flower st,flower,219,517
01013.jpg,so. flower,flower,517-519,"202
24
floor"
01008.jpg,"s. flower.
s",flower,336,"302=
hote"
01011.jpg,flower se,flower,219,305
01017.jpg,flower se,flower,219,511
01015.jpg,s.flower,flower,318,"27, 2n
floor fron"
01026.jpg,0 flowe,flower,105,"room no.1
fron"
01030.jpg,20. flower,flower,210,apt 309
01028.jpg,flower,flower,219,410
01032.jpg,so.flower st.,flower,236,"apt. #
le
hy"
01018.jpg,pos,west,,apt 310
01021.jpg,30.flower st,flower,236,"apt 20
the"
01023.jpg,so. flower,flower,,102
01031.jpg,#NAME?,flower,3,apt # 36
01033.jpg,s. flower,flower,330,"32= 3r floor, conic"
01019.jpg,so. flower,flower,223,
01024.jpg,so. flower,flower,247-37,302
01022.jpg,s. flower,flower,318,21.2 nd floor rpar..
01043.jpg,90.flower,flower,224,apt 27
01029.jpg,so. flower st,flower,230,apt # 30
01027.jpg,so flower sf,flower,237,"7
404"
01041.jpg,flower,flower,,2nd. flood front.
01045.jpg,so flower st,flower,237,"318
410:"
01046.jpg,flower se,flower,219,107
01048.jpg,"s
o.
flower",flower,119,apt. no. 1- south
01034.jpg,flower,flower,219,306
01038.jpg,so. flower se,flower,she,"38⁰
4130"
01036.jpg,"flower
#",flower,√219,105
01035.jpg,so. flower,flower,224,apt. 2 a
01050.jpg,"s. flower
in",flower,330,8-10. = 2nd floor fre
01049.jpg,so. flower,flower,230,"apt #
15"
01057.jpg,so. flower,flower,517-519,"wiffer
607"
01039.jpg,so. i lower,flower,137% rece,rear.
01055.jpg,so.. flower,flower,,apt. 316 a 197
01054.jpg,so flower.st,flower,236,"ist. floor
apt"
01068.jpg,#NAME?,flower,224,"apt. 16.
h"
01059.jpg,so. flower st,flower,246,apt #3 -2nd flow
01066.jpg,so. flower st.,flower,247-51,cot
01060.jpg,so. i lower,flower,345,good on
01052.jpg,50. flower,flower,230,apt # 29
01051.jpg,so. flower st.,flower,237,"2014
4080"
01062.jpg,s. flower,flower,336,#NAME?
01063.jpg,so. flower,flower,210,107
01053.jpg,so. flower st,flower,247-51,"115
btb"
01058.jpg,so. flower,flower,210,apt 507
01072.jpg,s.flower,flower,318,29. 3rd floor fron
01067.jpg,s. flower,flower,318,"38, 3.
•floor con"
01073.jpg,so.flower,flower,78,201
01078.jpg,so. flower,flower,517-519,206
01076.jpg,flower.,flower,105,room no. 5-2 floor
01070.jpg,so. flower,flower,230,apt. # 40
01077.jpg,50. flower,flower,210,"apt.
511"
01074.jpg,so. flower st,flower,237,"203
4069"
01064.jpg,"so, flower st",flower,230,"apt #
37"
01065.jpg,s. flower,flower,318,non for be
01071.jpg,"so. flower
st",flower,248-250,"apt #2
1st flor"
01082.jpg,so. flower,flower,214-212,214-15t. floor
01069.jpg,so. flower sf.,flower,245,"48
4133"
01081.jpg,"s. flower
s",flower,330,"22= 2nd floor, real"
01088.jpg,so flower,flower,230,"apt.
7"
01087.jpg,so. flower st.,flower,,
01090.jpg,so. i lower.,flower,113,2nd. i loor.
01084.jpg,"50
flower st",flower,248-250,"apt #6
and the"
01085.jpg,50. flower,flower,12,apt. 403
01092.jpg,so. flower st.,flower,237,"320
410"
01080.jpg,so flower,flower,224,"apt 9
143"
01086.jpg,fotos,flower,ote,"apt
302"
01101.jpg,s. flower,flower,336,405 4:floor. contor
01100.jpg,flower se,flower,219,507
01096.jpg,so flower.st,flower,248-250,"apt #3
2nd flors."
01104.jpg,"s. flower
m",flower,336,"foote
die"
01102.jpg,so. flower,flower,247-51,"2014
415"
01093.jpg,so flower,flower,517-519,"303
3d floor"
01105.jpg,flower,flower,219,"41
4040"
01097.jpg,so. flower st.,flower,237,"316
4103"
01095.jpg,s. flower,flower,306,"25, 3, floor
3, floor nort-"
01107.jpg,so. flower,flower,210,apt. 505
01094.jpg,"o
flower",flower,105%2,room no. 2-1st floof
01103.jpg,so. flower,flower,2047-51,201
01091.jpg,flower se,flower,219,205
01109.jpg,so. flower st.,flower,23,"977
406"
01106.jpg,"so, flower",flower,517-519,"200
29 flomm"
01108.jpg,so.flower,flower,210,apt. 20
