index,street_raw,street,street_no,apartment_no
00424.jpg,west first.,west,724,apt. no.25-2nd floo.
00428.jpg,"10. figueron.
o.",figueroa,8,apt no 30a-3p flo
00431.jpg,west first,west,2-Jul,apt. no. 4- 1st floo
00430.jpg,so. diqueron,figueroa,108,apt. no.15a=2npfle
00429.jpg,west first,west,724,"apt. no. 21-22-2nd.
floo"
00434.jpg,west first.,west,712,"apt. no. 7-2
nd
flo"
00435.jpg,west first.,west,718,"apt. ""c""
s.e. st. floo"
00427.jpg,west first,west,8+4,hoom no. 6- 2nd flo
00425.jpg,50. figueroa.,figueroa,108,apt. no. 29-3rd flo
00436.jpg,so. fiqueron.,figueroa,108,apt. no. 16-2² flo
00432.jpg,west first,west,71814,poom/ no-5- 2nd floor
00438.jpg,west first,west,8th,room no.3-1 st. flo
00437.jpg,west first.,west,724,ipt.no.28- 2nd floo
00426.jpg,west first.,west,874,"room no. 8. 2nd floo
on"
00442.jpg,west first,west,724,room no. 41-pent ho
00443.jpg,west first,west,724,apt. no.30- 3d floom
00445.jpg,west first,west,724,room no. 1–1 st./200
00440.jpg,west first,west,xel,toom no.26-2nd flo
00446.jpg,so. fiqueroa.,figueroa,108,apt. no. 27-3p flo
00450.jpg,#NAME?,west,712,"ipt. no.3.
1st floor"
00447.jpg,west first,west,724,room no.24 - 2nd flo
00448.jpg,so. fiqueroa.,figueroa,108,apt. no. 17-2nd. flo.
00439.jpg,5o. figueroa.,figueroa,,toom no.30 b-37
00441.jpg,so. digueroa.,figueroa,108,toom no.34-4th fl
00451.jpg,west first.,west,71814,toom no.1- 2nd flo
00449.jpg,west dirst.,west,71814,toom no. 2- 2nd floo
00452.jpg,west first,west,748,room no. 5- 2nd fle
00453.jpg,west first,west,87,"poom no. 7. 2074
no"
00457.jpg,west first.,west,724,apt. no.23-2nd floo
00458.jpg,so. fiqueroa.,figueroa,108,f.no. 28-3mp flo
00456.jpg,west first,west,712,apt. no. 5- / st floor
00459.jpg,west first,west,748,roond no. 9 2nd flo
00454.jpg,west first,west,71814,room no. 3-2nd flo
00463.jpg,10. digueroa.,figueroa,108,apt no 35 a-4#fl
00455.jpg,west first.,west,"718
2",n.w.front - 1st. floo
00462.jpg,west first,west,724,room no. 40-pent hou-
00461.jpg,west first,west,724,"vom ""b"" 3rd. flog"
00460.jpg,west first,west,748,toom no 2-1 st. ze
00464.jpg,west first,west,712,apt. no.8-2nd flo
00465.jpg,west first,west,724,room no. 27- 2nd flo
00467.jpg,west first,west,724,apt. no.3-1st. floor
00470.jpg,so. figueroa,figueroa,801,no. 21-3rd flo
00466.jpg,so. idqueroa.,figueroa,108,apt. no.32-3rd floo
00469.jpg,west first,west,724,"room a = 2
floc"
00468.jpg,50. figueroa.,figueroa,,room no. 25 b-30² f
00471.jpg,so. figueroa,figueroa,108,apt.no. 40- 4th floo
00476.jpg,so. digueroa,figueroa,108,toom no.35b3-47
00473.jpg,west first,west,724,poom no.36-3rd. flo
00475.jpg,west first.,west,724,apt. no. 8-/st. floo
00474.jpg,west first.,west,718 a-1,north
00477.jpg,west first,west,718,manager-/st. floor
00472.jpg,west fiest,west,72014,rear
00478.jpg,west first,west,724,apt. no.32-3p flo0
00479.jpg,so. figueroa.,figueroa,801,apt. no. 44- 4 flo
00483.jpg,digueroa,figueroa,,upt. no. 36-41 floo
00482.jpg,west first,west,cl,apt. no.39-340 flo
00481.jpg,west first,west,724,room no. 31-3rd. flo
00480.jpg,west first,west,748,manager - 1st floor.
00485.jpg,west first,west,724,apt. no.35 3 rp. floof
00484.jpg,#NAME?,west,724,apst. no. 7- 1st flo0
00491.jpg,so. fiqueron,figueroa,108,apt. no. 26-3p floom
00489.jpg,so. figueroa,figueroa,108,"ap
upt no. 20-2nd flo"
00486.jpg,west first,west,7188 1,"rear
south"
00488.jpg,so. figueroa.,figueroa,801,apt. no. 38- 4th floc
00487.jpg,west firat.,west,72034,
00492.jpg,west first,west,724,apt. no. 2- / st. floo
00493.jpg,so. flower,flower,131,"76701
north"
00490.jpg,west first,west,724,apt. no. 20- 2nd floor
00496.jpg,flower,flower,105%,coor south - #.
00497.jpg,"west
irst",west,820,"no
apt. no. 15 2nd flo"
00495.jpg,west first.,west,or 8,room no.8. /st.fl.
00494.jpg,1o. figueroa,figueroa,116 rea,ste floor nor
00498.jpg,flower,flower,sol,ceny ne. 3- 2nd flo
00500.jpg,so. flower,flower,1371 rece,rear.
00499.jpg,west first,west,812,apt. no.5-2nd. floor
00503.jpg,west first,west,820,"apt. no. 17- 20
nd flo"
00502.jpg,so. flower.,flower,,"ind. floor.
south"
00501.jpg,so 7 lower,flower,sit,st. flood - north a
00510.jpg,"west
first",west,812,apt. no. 6- 2nd. floor
00505.jpg,first,figueroa,812,cipt. no.2. 1st flear
00504.jpg,"west.
first",west,,"apt. 1st floor (tra
41"
00508.jpg,figueroa,figueroa,7711,(st. floor soute
00507.jpg,flower.,flower,115,2nd. fond
00506.jpg,west first,west,82,apt. no. 24-2000 flo
00511.jpg,jo. i lower,flower,105,toom no. 2-2~² floor
00513.jpg,so. flower.,flower,101,ist. floor north
00509.jpg,so. flower,flower,115,1st. floor south
00514.jpg,west first,west,820,room no. 7. /st.fl
00512.jpg,west first,west,820,apt. no. 16- 2nd floo
00516.jpg,so. flower,flower,"1,16/",st. floor south
00517.jpg,"west
first",west,812,apt. no.11- 3rd. domin
00515.jpg,so figueroa.,figueroa,801,floor manag
00520.jpg,so. flower,flower,129,1st floor north
00519.jpg,so. figueroa.,figueroa,108,apt. no. 14-2
00522.jpg,0. flowe,flower,129,toom no. 4- 2nd flo
00523.jpg,figueroa,figueroa,108,apt. no.1-1st floo
00521.jpg,west first,west,820,pt.no.30-3rd floo
00527.jpg,lower.,flower,103,room no. 3-2 floor
00525.jpg,so. flower,flower,107,"floor
north"
00524.jpg,west first.,west,820,apt. no. 12-/st. flo
00526.jpg,west first,west,820,apt.no.29-3rd floo
00531.jpg,west first,west,20,apt. no. 5- 1st. flo
00533.jpg,flower.,flower,129,toom no. 5-20⁰0 flo.
00529.jpg,west first,west,820,apt. no 33-3rd flo
00528.jpg,"so
lower.",flower,103,"room no. 2-2
b"
00532.jpg,do. fiqueroa,figueroa,807,apt. no.8 /st. floo
00534.jpg,west first,west,820,toom no. 31-3rd floo
00537.jpg,west first.,west,820,apt. #6- 1st. floor
00535.jpg,so. diqueroa.,figueroa,108,room no.15 2nd flo
00536.jpg,6. flowe,flower,123,2nd floor
00539.jpg,west first,west,812,a apt. no.12-3rd.
00540.jpg,"west.
first",west,820,toom no.32- 3rd flen
00541.jpg,so flower.,flower,10942,noom no.4-2
00538.jpg,i lower,flower,///,1st floor south cre
00546.jpg,lower,flower,103,"apt. no.
ne."
00542.jpg,west first,west,820,room no.25-3rd floo
00543.jpg,flower,flower,125,st. floor
00547.jpg,west first,west,0,room no. 14- 2nd. he
00550.jpg,"0
flower",flower,129,room no1. inter
00548.jpg,po flower.,flower,1051,apt. no.5-1st floo
00549.jpg,west first,west,820,apt. no. 9- 1st. floo
00545.jpg,west first.,west,81,apt. no. 9- 3rd floor
00553.jpg,so. i lower.,flower,cot,nd floor (rear)
00551.jpg,so. figueroa.,figueroa,108,"room no. 10, 2nd fl"
00552.jpg,so. i lewer.,flower,,"toom no.
✓
no. 2-2
2-2~ floe"
00557.jpg,figuero,figueroa,108,apt. no. 12-2nd floo
00555.jpg,5o. i lower.,flower,29,"toom no. 3-2 ~ flo
po"
00554.jpg,so. i lower.,flower,103,toom no. 1. 2nd floo
00556.jpg,so flower,flower,129,"1st floor
en"
00559.jpg,"""west first.",west,820,apt. no. 27- 3rd floor
00558.jpg,eo. i lower.,flower,1052,"/100m no 3-1 st. floo.
toom"
00560.jpg,10. flowe,flower,103,007-on mo
00561.jpg,west first,west,18,apt. no. 103rd. flear.
00563.jpg,so. hower.,flower,125,st. floor with
00564.jpg,"west
first",west,820,room no. 26-3rd flc
00565.jpg,west first,west,20,apt. no. 5- 1st. flo
00562.jpg,so. flower,flower,777,poom no. 2-1st flo
00566.jpg,so. i lower.,flower,109/,2nd. floor south
00574.jpg,so flower,flower,,2nd. flood front.
00568.jpg,"2 flower
7",flower,105,"room no.1
fron"
00569.jpg,west first,west,820,toom no. 19. 2nd floo
00567.jpg,west first,west,820,tooms n034- 3rd floo
00570.jpg,"flow
ower",flower,105%2,toome no. 2-1st floof
00573.jpg,so. figueroa.,figueroa,114,"floor north
of"
00572.jpg,"west
first",west,812,apt. #4- lat floor
00571.jpg,west first.,west,820,toom no. 2- 1-st. floo
00575.jpg,80 flower,flower,133 a,30
00578.jpg,flower.,flower,119,apt. no.2- north
00576.jpg,flower.,flower,105,room no. 5-2nd floor
00577.jpg,west first,west,820,apt. no. 28-39p. flo
00581.jpg,west first.,west,812,apt. no.8-2-ne farr
00579.jpg,so. i lower.,flower,113,2nd. floor
00582.jpg,so. i lower.,flower,,(st. floor.
